state_ut,district,Year,rape,kidnapping_and_abduction,dowry_deaths,women_assault,women_modesty_insult,husband_relatives_cruelty,girls_importation
Arunachal Pradesh,Kameng East,2007,1,0,0,10,0,0,0
Arunachal Pradesh,Kameng West,2007,1,0,0,2,0,0,0
Arunachal Pradesh,Lohit,2007,5,12,0,4,0,0,0
Arunachal Pradesh,Papum Pare,2007,8,8,0,15,0,8,0
Arunachal Pradesh,Siang East,2007,8,3,0,12,0,1,0
Arunachal Pradesh,Siang Upper,2007,5,0,0,2,0,0,0
Arunachal Pradesh,Siang West,2007,3,5,0,5,1,3,0
Arunachal Pradesh,Subansiri Lower,2007,3,2,0,3,0,0,0
Arunachal Pradesh,Subansiri Upper,2007,3,4,0,5,0,2,0
Arunachal Pradesh,Tawang,2007,1,0,0,2,0,0,0
Arunachal Pradesh,Tirap,2007,0,1,0,2,0,0,0
Arunachal Pradesh,Upper Dibang Valley,2007,0,0,0,0,0,0,0
Arunachal Pradesh,Total,2007,48,44,0,72,1,20,0
Assam,Barpeta,2007,83,81,10,16,0,180,0
Assam,Baska,2007,7,13,2,7,0,7,0
Assam,Bongaigaon,2007,40,38,5,13,0,124,0
Assam,C.I.D.,2007,0,0,0,0,0,0,0
Assam,Cachar,2007,58,105,4,30,0,364,0
Assam,Chirang,2007,10,17,0,13,0,55,0
Assam,Darrang,2007,61,40,3,111,1,81,0
Assam,Dhemaji,2007,70,28,0,40,0,121,0
Assam,Dhubri,2007,148,111,12,128,0,392,0
Assam,Dibrugarh,2007,55,2,0,29,0,30,0
Assam,G.R.P.,2007,3,3,0,0,0,12,0
Assam,Goalpara,2007,51,39,4,45,0,105,0
Assam,Golaghat,2007,64,58,0,50,0,99,0
Assam,Guwahati City,2007,71,135,6,24,0,106,0
Assam,Hailakandi,2007,26,30,3,15,0,60,0
Assam,Jorhat,2007,45,59,3,21,0,55,0
Assam,Kamrup,2007,74,36,0,7,0,144,0
Assam,Karbi Anglong,2007,16,15,3,10,0,18,0
Assam,Karimganj,2007,49,37,13,5,0,82,0
Assam,Kokrajhar,2007,42,38,1,35,0,82,0
Assam,Lakhimpur,2007,62,82,0,47,0,147,0
Assam,Morigaon,2007,65,57,3,63,0,110,0
Assam,N.C.Hills,2007,5,8,2,4,0,2,0
Assam,Nagaon,2007,114,203,11,5,9,225,0
Assam,Nalbari,2007,12,22,3,18,0,32,0
Assam,R.P.O.,2007,1,0,0,0,0,0,0
Assam,Sibsagar,2007,53,43,0,24,0,104,0
Assam,Sonitpur,2007,70,75,8,20,0,155,0
Assam,Tinsukia,2007,57,76,0,9,0,92,0
Assam,Udalguri,2007,25,20,4,0,0,16,0
Assam,Total,2007,1437,1471,100,789,10,3000,0
Bihar,Araria,2007,47,5,11,51,0,86,0
Bihar,Arwal,2007,8,0,12,0,0,5,0
Bihar,Aurangabad,2007,30,28,36,25,0,30,0
Bihar,Bagaha,2007,38,26,6,10,0,10,0
Bihar,Banka,2007,74,17,24,4,0,37,0
Bihar,Begusarai,2007,25,38,43,15,0,34,0
Bihar,Bettiah,2007,23,15,21,12,0,30,0
Bihar,Bhabhua,2007,12,8,24,5,0,30,0
Bihar,Bhagalpur,2007,25,59,21,33,2,16,0
Bihar,Bhojpur,2007,41,40,42,60,0,83,0
Bihar,Buxar,2007,13,19,23,37,0,34,0
Bihar,Darbhanga,2007,47,60,39,41,0,59,0
Bihar,Gaya,2007,28,55,74,15,0,15,0
Bihar,Gopalganj,2007,9,14,22,15,0,46,0
Bihar,Jamalpur Rly.,2007,1,0,0,2,0,0,0
Bihar,Jamui,2007,46,14,8,12,0,20,0
Bihar,Jehanabad,2007,7,18,19,7,0,24,0
Bihar,Katihar,2007,149,90,14,25,0,27,0
Bihar,Katihar Rly.,2007,2,4,0,0,0,0,0
Bihar,Khagaria,2007,21,14,14,15,0,12,0
Bihar,Kishanganj,2007,53,40,8,25,0,18,0
Bihar,Lakhisarai,2007,31,18,10,14,0,14,0
Bihar,Madhepura,2007,32,21,7,3,0,18,4
Bihar,Madhubani,2007,47,46,27,36,0,29,0
Bihar,Motihari,2007,25,71,61,20,0,37,0
Bihar,Munger,2007,25,26,10,0,0,52,0
Bihar,Muzaffarpur,2007,77,64,93,12,0,87,0
Bihar,Muzaffarpur Rly.,2007,2,0,1,0,0,0,0
Bihar,Nalanda,2007,14,51,57,33,0,104,0
Bihar,Naugachia,2007,7,4,9,6,0,18,0
Bihar,Nawadah,2007,38,15,15,6,1,22,0
Bihar,Patna,2007,74,65,80,19,0,296,0
Bihar,Patna Rly.,2007,2,2,2,12,0,2,0
Bihar,Purnea,2007,219,58,17,61,0,63,4
Bihar,Rohtas,2007,23,26,58,21,0,34,0
Bihar,Saharsa,2007,17,4,14,31,0,22,0
Bihar,Samastipur,2007,54,29,55,11,7,42,25
Bihar,Saran,2007,57,30,47,4,0,39,0
Bihar,Sheikhpura,2007,4,6,3,5,0,4,0
Bihar,Sheohar,2007,13,3,1,13,0,8,1
Bihar,Sitamarhi,2007,12,43,30,13,0,30,22
Bihar,Siwan,2007,17,21,32,9,2,45,0
Bihar,Supaul,2007,43,19,14,69,0,17,0
Bihar,Vaishali,2007,23,74,68,46,0,36,0
Bihar,Total,2007,1555,1260,1172,853,12,1635,56
Chhattisgarh,Balrampur,2007,46,1,1,45,0,22,0
Chhattisgarh,Bilaspur,2007,61,22,26,179,8,129,0
Chhattisgarh,Bizapur,2007,4,0,0,4,0,2,0
Chhattisgarh,Dantewara,2007,8,2,0,8,2,4,0
Chhattisgarh,Dhamtari,2007,26,6,1,63,7,15,0
Chhattisgarh,Durg,2007,119,22,14,200,13,101,0
Chhattisgarh,Grp Raipur,2007,1,1,1,4,0,0,0
Chhattisgarh,Jagdalpur,2007,60,14,2,45,2,24,0
Chhattisgarh,Janjgir,2007,54,5,13,97,10,89,0
Chhattisgarh,Jashpur,2007,61,18,1,43,4,11,0
Chhattisgarh,Kabirdham,2007,29,0,3,57,8,32,0
Chhattisgarh,Kanker,2007,22,6,1,24,1,16,0
Chhattisgarh,Korba,2007,31,4,1,69,4,43,0
Chhattisgarh,Koriya,2007,66,8,0,77,0,29,0
Chhattisgarh,Mahasamund,2007,25,3,2,56,3,16,0
Chhattisgarh,Narayanpur,2007,3,0,0,2,0,2,0
Chhattisgarh,Raigarh,2007,55,7,7,86,12,33,0
Chhattisgarh,Raipur,2007,120,39,15,253,28,131,0
Chhattisgarh,Rajnandgaon,2007,54,11,8,78,6,59,0
Chhattisgarh,Sarguja,2007,72,9,1,78,1,30,0
Chhattisgarh,Surajpur,2007,65,3,3,81,2,36,0
Chhattisgarh,Total,2007,982,181,100,1549,111,824,0
Goa,North Goa,2007,5,2,2,8,4,3,0
Goa,South Goa,2007,15,5,0,12,3,11,0
Goa,Total,2007,20,7,2,20,7,14,0
Gujarat,Ahmedabad Commr.,2007,37,147,4,104,13,1221,0
Gujarat,Ahmedabad Rural,2007,6,46,0,22,0,172,0
Gujarat,Ahwa-Dang,2007,5,0,0,5,0,7,0
Gujarat,Amreli,2007,7,49,0,20,0,162,0
Gujarat,Anand,2007,10,53,0,22,2,170,0
Gujarat,Bharuch,2007,8,14,0,18,4,68,0
Gujarat,Bhavnagar,2007,18,90,1,94,35,280,0
Gujarat,Dahod,2007,8,32,0,25,1,56,0
Gujarat,Gandhinagar,2007,12,17,1,17,2,170,0
Gujarat,Himatnagar,2007,5,34,0,33,0,197,0
Gujarat,Jamnagar,2007,11,21,0,15,4,245,0
Gujarat,Junagadh,2007,13,46,1,42,11,419,0
Gujarat,Kheda North,2007,10,34,0,31,0,154,0
Gujarat,Kutch,2007,10,27,2,20,4,255,0
Gujarat,Mehsana,2007,6,45,2,23,0,276,0
Gujarat,Narmada,2007,6,4,0,8,0,13,0
Gujarat,Navsari,2007,2,11,0,3,0,23,0
Gujarat,Palanpur,2007,19,51,2,65,0,256,0
Gujarat,Panchmahal,2007,16,42,0,33,0,124,0
Gujarat,Patan,2007,6,41,0,33,0,178,0
Gujarat,Porbandar,2007,1,7,0,4,0,59,0
Gujarat,Rajkot Commr.,2007,4,36,3,17,22,240,0
Gujarat,Rajkot Rural,2007,25,51,4,26,1,234,0
Gujarat,Surat Commr.,2007,24,80,21,44,8,332,0
Gujarat,Surat Rural,2007,4,6,1,5,0,37,0
Gujarat,Surendranagar,2007,17,28,0,48,5,119,0
Gujarat,Vadodara Commr.,2007,8,37,0,11,8,268,0
Gujarat,Vadodara Rural,2007,10,37,0,21,0,63,0
Gujarat,Valsad,2007,8,2,0,6,0,25,0
Gujarat,W.Rly,2007,0,1,0,7,0,4,0
Gujarat,Total,2007,316,1089,42,822,120,5827,0
Haryana,Ambala,2007,23,10,16,11,15,154,0
Haryana,Bhiwani,2007,17,23,17,23,15,128,0
Haryana,Faridabad,2007,37,117,19,23,0,167,0
Haryana,Fatehabad,2007,7,8,2,16,12,122,0
Haryana,Grp,2007,2,3,5,6,153,0,0
Haryana,Gurgaon,2007,40,75,17,36,43,122,0
Haryana,Hissar,2007,21,31,7,19,0,157,0
Haryana,Jhajjar,2007,14,21,19,10,14,87,0
Haryana,Jind,2007,19,18,12,14,15,95,0
Haryana,Kaithal,2007,14,10,14,26,0,178,0
Haryana,Karnal,2007,47,13,13,28,0,169,0
Haryana,Kurukshetra,2007,21,13,11,11,16,99,0
Haryana,Mahendragarh,2007,10,22,14,17,0,47,0
Haryana,Mewat,2007,44,18,13,18,14,153,0
Haryana,Palwal,2007,15,17,9,21,34,54,0
Haryana,Panchkula,2007,11,9,0,9,0,70,0
Haryana,Panipat,2007,34,24,11,13,18,63,0
Haryana,Rewari,2007,22,29,12,30,1,76,0
Haryana,Rohtak,2007,18,20,31,18,32,92,0
Haryana,Sirsa,2007,23,14,5,21,0,154,0
Haryana,Sonipat,2007,24,26,16,30,27,149,0
Haryana,Yamunanagar,2007,25,33,6,17,0,76,0
Haryana,Total,2007,488,554,269,417,409,2412,0
Himachal Pradesh,Bilaspur,2007,6,9,0,33,1,28,0
Himachal Pradesh,Chamba,2007,15,11,0,20,1,6,0
Himachal Pradesh,G.R.P.,2007,0,0,0,0,0,0,0
Himachal Pradesh,Hamirpur,2007,5,15,1,29,13,35,0
Himachal Pradesh,Kangra,2007,20,19,3,38,4,72,0
Himachal Pradesh,Kinnaur,2007,9,1,0,1,0,4,0
Himachal Pradesh,Kullu,2007,22,11,0,22,3,18,0
Himachal Pradesh,Lahaul-Spiti,2007,1,1,0,1,0,0,0
Himachal Pradesh,Mandi,2007,30,23,0,70,6,60,0
Himachal Pradesh,Shimla,2007,27,26,1,46,0,44,0
Himachal Pradesh,Sirmaur,2007,7,9,0,26,0,26,0
Himachal Pradesh,Solan,2007,8,16,3,26,0,30,0
Himachal Pradesh,Una,2007,9,9,0,10,5,19,0
Himachal Pradesh,Total,2007,159,150,8,322,33,342,0
Jammu & Kashmir,Anantnag,2007,16,65,0,57,29,0,0
Jammu & Kashmir,Awantipora,2007,5,11,0,29,7,0,0
Jammu & Kashmir,Baramulla,2007,31,90,0,93,28,2,0
Jammu & Kashmir,Border District,2007,6,7,2,11,3,3,0
Jammu & Kashmir,Budgam,2007,17,72,0,118,31,0,0
Jammu & Kashmir,Crime Jammu,2007,0,0,0,0,0,0,0
Jammu & Kashmir,Crime Srinagar,2007,0,0,0,0,0,0,0
Jammu & Kashmir,Doda,2007,28,28,0,26,5,13,0
Jammu & Kashmir,Ganderbal,2007,5,45,0,73,3,5,0
Jammu & Kashmir,Handwara,2007,15,22,0,62,9,2,0
Jammu & Kashmir,Jammu,2007,25,52,3,23,41,45,0
Jammu & Kashmir,Kargil,2007,0,1,0,2,0,0,0
Jammu & Kashmir,Kathua,2007,15,17,1,15,21,7,0
Jammu & Kashmir,Kulgam,2007,9,43,0,53,13,0,0
Jammu & Kashmir,Kupwara,2007,4,35,0,77,4,5,0
Jammu & Kashmir,Leh,2007,2,3,0,4,0,0,0
Jammu & Kashmir,Poonch,2007,13,17,0,28,3,15,0
Jammu & Kashmir,Pulwama,2007,11,45,0,36,8,2,0
Jammu & Kashmir,Railways,2007,0,0,0,0,1,0,0
Jammu & Kashmir,Rajouri,2007,25,47,3,30,6,45,0
Jammu & Kashmir,Ramban,2007,15,7,0,6,5,0,0
Jammu & Kashmir,Reasi,2007,7,10,0,10,3,1,0
Jammu & Kashmir,Srinagar,2007,27,81,0,219,121,31,0
Jammu & Kashmir,Udhampur,2007,12,9,0,14,12,0,0
Jammu & Kashmir,Total,2007,288,707,9,986,353,176,0
Jharkhand,Bokaro,2007,57,36,21,7,0,62,0
Jharkhand,Chaibasa,2007,43,9,6,10,0,21,0
Jharkhand,Chatra,2007,25,11,15,3,0,8,0
Jharkhand,Deoghar,2007,24,6,21,2,1,0,0
Jharkhand,Dhanbad,2007,41,68,29,32,9,38,0
Jharkhand,Dhanbad Rly.,2007,1,0,2,1,0,0,0
Jharkhand,Dumka,2007,52,22,23,35,0,49,0
Jharkhand,Garhwa,2007,17,12,8,0,0,30,0
Jharkhand,Giridih,2007,46,30,20,61,0,71,0
Jharkhand,Godda,2007,30,19,7,3,0,42,0
Jharkhand,Gumla,2007,60,29,1,11,0,9,0
Jharkhand,Hazaribagh,2007,41,25,45,40,0,86,0
Jharkhand,Jamshedpur,2007,65,31,20,30,0,56,0
Jharkhand,Jamshedpur Rly.,2007,1,2,0,1,0,0,0
Jharkhand,Jamtara,2007,22,19,6,11,0,24,0
Jharkhand,Khunti,2007,15,7,1,1,0,3,0
Jharkhand,Koderma,2007,15,7,11,2,0,9,0
Jharkhand,Latehar,2007,10,7,4,2,0,4,0
Jharkhand,Lohardagga,2007,32,9,1,12,0,24,0
Jharkhand,Pakur,2007,45,19,4,13,0,31,0
Jharkhand,Palamu,2007,29,28,17,6,3,31,0
Jharkhand,Ramgarh,2007,28,26,11,11,0,46,0
Jharkhand,Ranchi,2007,53,64,17,27,2,100,0
Jharkhand,Sahebganj,2007,64,24,9,18,0,25,0
Jharkhand,Saraikela,2007,18,4,4,2,0,26,0
Jharkhand,Simdega,2007,21,20,0,1,0,6,0
Jharkhand,Total,2007,855,534,303,342,15,801,0
Karnataka,Bagalkot,2007,4,17,2,51,3,70,0
Karnataka,Bangalore Commr.,2007,62,35,54,187,2,290,0
Karnataka,Bangalore Rural,2007,29,13,32,99,0,103,0
Karnataka,Belgaum,2007,22,28,10,129,2,232,0
Karnataka,Bellary,2007,14,15,7,71,0,62,0
Karnataka,Bidar,2007,11,20,4,103,1,81,0
Karnataka,Bijapur,2007,17,13,2,80,0,145,0
Karnataka,Chamarajnagar,2007,3,4,2,26,0,18,0
Karnataka,Chickmagalur,2007,11,7,4,55,3,108,0
Karnataka,Chitradurga,2007,10,7,9,65,1,51,0
Karnataka,Dakshin Kannada,2007,11,8,2,36,3,46,0
Karnataka,Davanagere,2007,10,11,5,49,2,102,0
Karnataka,Dharwad Commr.,2007,5,12,3,10,1,30,0
Karnataka,Dharwad Rural,2007,7,3,0,8,0,10,0
Karnataka,Gadag,2007,4,2,3,31,0,23,0
Karnataka,Gulbarga,2007,35,38,19,91,0,127,0
Karnataka,Hassan,2007,13,9,11,77,0,83,0
Karnataka,Haveri,2007,8,6,5,35,0,27,0
Karnataka,K.G.F.,2007,7,6,7,29,0,21,0
Karnataka,Kodagu,2007,4,9,4,20,1,43,0
Karnataka,Kolar,2007,19,24,17,44,0,50,0
Karnataka,Koppal,2007,6,5,1,32,0,48,0
Karnataka,Mandya,2007,17,14,15,66,0,95,0
Karnataka,Mysore Commr.,2007,13,13,4,25,0,123,0
Karnataka,Mysore Rural,2007,20,4,11,77,0,108,0
Karnataka,Raichur,2007,19,20,3,61,2,97,0
Karnataka,Railways,2007,0,0,0,0,0,0,0
Karnataka,Shimoga,2007,23,21,3,81,3,158,0
Karnataka,Tumkur,2007,17,19,10,105,0,77,0
Karnataka,Udupi,2007,11,1,1,22,2,19,0
Karnataka,Uttar Kannada,2007,4,6,1,63,2,60,0
Karnataka,Total,2007,436,390,251,1828,28,2507,0
Kerala,Alapuzha,2007,25,11,3,208,17,264,0
Kerala,Cbcid,2007,2,0,1,0,0,3,0
Kerala,Ernakulam Commr.,2007,23,6,0,75,5,88,0
Kerala,Ernakulam Rural,2007,22,6,1,126,10,151,0
Kerala,Idukki,2007,28,7,0,155,21,186,0
Kerala,Kannur,2007,34,10,1,123,14,247,0
Kerala,Kasargod,2007,19,0,0,93,7,195,0
Kerala,Kollam,2007,46,20,4,282,10,447,0
Kerala,Kottayam,2007,25,16,1,224,31,185,0
Kerala,Kozhikode Commr.,2007,15,7,0,70,9,141,0
Kerala,Kozhikode Rural,2007,25,10,3,128,16,257,0
Kerala,Malappuram,2007,41,3,0,139,37,503,0
Kerala,Palakkad,2007,39,4,6,82,5,356,0
Kerala,Pathanamthitta,2007,19,18,0,153,18,162,0
Kerala,Railways,2007,0,0,0,6,3,0,0
Kerala,Thrissur,2007,48,19,0,202,28,332,0
Kerala,Trivandrum Commr.,2007,20,16,1,141,10,130,0
Kerala,Trivandrum Rural,2007,54,20,4,351,7,242,0
Kerala,Wayanadu,2007,27,4,2,66,14,110,0
Kerala,Total,2007,512,177,27,2624,262,3999,0
Madhya Pradesh,Anuppur,2007,49,5,3,87,3,26,0
Madhya Pradesh,Ashok Nagar,2007,81,9,13,173,14,43,0
Madhya Pradesh,Balaghat,2007,53,5,7,89,9,39,0
Madhya Pradesh,Barwani,2007,55,8,4,132,11,32,0
Madhya Pradesh,Betul,2007,156,17,13,174,14,72,0
Madhya Pradesh,Bhind,2007,27,8,38,55,2,28,0
Madhya Pradesh,Bhopal,2007,82,43,24,212,41,137,0
Madhya Pradesh,Bhopal Rly.,2007,1,0,2,14,5,1,0
Madhya Pradesh,Burhanpur,2007,12,1,2,54,4,15,0
Madhya Pradesh,Chhatarpur,2007,65,25,31,216,22,85,0
Madhya Pradesh,Chhindwara,2007,116,13,16,185,19,118,0
Madhya Pradesh,Damoh,2007,30,9,20,148,0,50,0
Madhya Pradesh,Datiya,2007,25,11,9,68,0,32,0
Madhya Pradesh,Dewas,2007,84,18,22,165,48,131,0
Madhya Pradesh,Dhar,2007,82,18,35,157,17,56,0
Madhya Pradesh,Dindori,2007,23,0,3,27,1,4,0
Madhya Pradesh,Guna,2007,80,2,4,166,23,45,0
Madhya Pradesh,Gwalior,2007,74,46,33,170,20,130,0
Madhya Pradesh,Harda,2007,38,7,5,41,14,34,0
Madhya Pradesh,Hoshangabad,2007,52,23,11,110,12,59,0
Madhya Pradesh,Indore,2007,102,35,21,276,55,319,0
Madhya Pradesh,Indore Rly.,2007,4,0,0,7,0,0,0
Madhya Pradesh,Jabalpur,2007,77,31,42,290,65,144,0
Madhya Pradesh,Jabalpur Rly.,2007,1,0,0,5,4,0,0
Madhya Pradesh,Jhabua,2007,35,14,3,66,0,16,0
Madhya Pradesh,Katni,2007,44,8,22,129,11,58,0
Madhya Pradesh,Khandwa,2007,64,13,4,152,30,60,0
Madhya Pradesh,Khargon,2007,63,8,27,154,20,52,0
Madhya Pradesh,Mandla,2007,47,6,3,87,8,15,0
Madhya Pradesh,Mandsaur,2007,40,12,6,132,9,62,0
Madhya Pradesh,Morena,2007,39,24,26,104,2,78,0
Madhya Pradesh,Narsinghpur,2007,49,5,22,134,15,39,0
Madhya Pradesh,Neemuch,2007,20,5,3,70,12,40,0
Madhya Pradesh,Panna,2007,26,6,7,77,6,19,0
Madhya Pradesh,Raisen,2007,75,12,15,148,16,42,0
Madhya Pradesh,Rajgarh,2007,100,16,12,227,34,144,0
Madhya Pradesh,Ratlam,2007,85,13,5,165,35,85,0
Madhya Pradesh,Rewa,2007,66,18,26,119,3,72,0
Madhya Pradesh,Sagar,2007,115,30,30,345,29,125,0
Madhya Pradesh,Satna,2007,84,17,38,191,7,101,0
Madhya Pradesh,Seoni,2007,51,6,8,96,23,19,0
Madhya Pradesh,Shahdol,2007,50,8,10,128,9,78,0
Madhya Pradesh,Shajapur,2007,67,11,7,163,33,65,0
Madhya Pradesh,Sheopur,2007,13,3,3,38,0,27,0
Madhya Pradesh,Shivpuri,2007,91,17,23,152,1,36,0
Madhya Pradesh,Sidhi,2007,82,37,24,184,10,80,0
Madhya Pradesh,Sihore,2007,56,15,9,94,9,38,0
Madhya Pradesh,Tikamgarh,2007,63,15,14,148,0,39,0
Madhya Pradesh,Ujjain,2007,79,29,14,168,36,199,0
Madhya Pradesh,Umariya,2007,37,1,3,68,1,20,0
Madhya Pradesh,Vidisha,2007,100,18,20,212,18,85,0
Madhya Pradesh,Total,2007,3010,701,742,6772,780,3294,0
Maharashtra,Ahmednagar,2007,55,25,3,132,12,475,0
Maharashtra,Akola,2007,22,15,3,86,48,165,0
Maharashtra,Amravati Commr.,2007,7,14,3,35,16,74,0
Maharashtra,Amravati Rural,2007,58,24,11,118,32,123,0
Maharashtra,Aurangabad Commr.,2007,18,26,11,57,31,171,0
Maharashtra,Aurangabad Rural,2007,14,7,39,71,14,256,0
Maharashtra,Beed,2007,23,37,18,91,6,353,0
Maharashtra,Bhandara,2007,19,4,2,55,27,68,0
Maharashtra,Buldhana,2007,39,20,12,124,31,256,0
Maharashtra,Chandrapur,2007,35,19,5,115,109,169,0
Maharashtra,Dhule,2007,15,5,10,37,14,223,0
Maharashtra,Gadchiroli,2007,11,7,3,31,7,44,0
Maharashtra,Gondia,2007,32,13,3,71,32,51,0
Maharashtra,Hingoli,2007,9,7,3,45,6,98,0
Maharashtra,Jalgaon,2007,52,27,20,75,19,420,0
Maharashtra,Jalna,2007,17,10,31,43,5,266,0
Maharashtra,Kolhapur,2007,30,8,16,51,24,125,0
Maharashtra,Latur,2007,17,26,66,73,0,107,0
Maharashtra,Mumbai Commr.,2007,174,120,17,365,112,380,0
Maharashtra,Mumbai Rly.,2007,1,0,0,5,0,0,0
Maharashtra,Nagpur Commr.,2007,50,50,7,96,51,251,0
Maharashtra,Nagpur Rly.,2007,0,2,0,8,1,0,0
Maharashtra,Nagpur Rural,2007,39,22,7,92,41,60,0
Maharashtra,Nanded,2007,33,29,19,83,7,213,0
Maharashtra,Nandurbar,2007,14,0,3,24,2,94,0
Maharashtra,Nasik Commr.,2007,7,17,1,34,11,127,0
Maharashtra,Nasik Rural,2007,44,16,8,91,53,326,0
Maharashtra,Navi Mumbai,2007,17,4,5,32,7,53,0
Maharashtra,Osmanabad,2007,29,18,2,84,7,172,0
Maharashtra,Parbhani,2007,22,9,8,54,6,183,0
Maharashtra,Pune Commr.,2007,66,93,6,79,77,250,0
Maharashtra,Pune Rly.,2007,0,0,0,0,0,0,0
Maharashtra,Pune Rural,2007,59,25,17,101,16,203,0
Maharashtra,Raigad,2007,29,10,4,39,7,72,0
Maharashtra,Ratnagiri,2007,17,4,2,33,31,48,0
Maharashtra,Sangli,2007,28,11,11,72,3,116,0
Maharashtra,Satara,2007,43,26,9,59,13,256,0
Maharashtra,Sindhudurg,2007,9,2,4,13,14,8,0
Maharashtra,Solapur Commr.,2007,12,13,0,15,5,81,0
Maharashtra,Solapur Rural,2007,46,21,4,63,17,128,0
Maharashtra,Thane Commr.,2007,78,68,20,148,20,355,0
Maharashtra,Thane Rural,2007,67,39,7,108,29,139,0
Maharashtra,Wardha,2007,31,25,0,107,35,92,0
Maharashtra,Washim,2007,14,18,8,62,14,131,0
Maharashtra,Yavatmal,2007,49,31,8,129,27,174,0
Maharashtra,Total,2007,1451,967,436,3306,1039,7356,0
Manipur,Bishnupur,2007,4,6,0,21,0,0,0
Manipur,Chandel,2007,0,0,0,0,0,0,0
Manipur,Churachandpur,2007,1,1,0,0,0,0,0
Manipur,Imphal East,2007,1,19,0,4,0,1,0
Manipur,Imphal West,2007,7,37,0,28,0,11,0
Manipur,Senapati,2007,1,2,0,0,0,0,0
Manipur,Tamenglong,2007,0,0,0,0,0,0,0
Manipur,Thoubal,2007,6,17,0,17,0,3,0
Manipur,Ukhrul,2007,0,1,0,0,0,0,0
Manipur,Total,2007,20,83,0,70,0,15,0
Meghalaya,Garo Hills East,2007,4,0,0,3,0,0,0
Meghalaya,Garo Hills South,2007,1,0,0,0,0,0,0
Meghalaya,Garo Hills West,2007,4,10,0,12,1,4,0
Meghalaya,Jaintia Hills,2007,26,1,0,6,0,0,0
Meghalaya,Khasi Hills East,2007,32,10,2,11,0,13,0
Meghalaya,Khasi Hills West,2007,8,0,0,2,0,0,0
Meghalaya,Ri-Bhoi,2007,7,1,0,11,0,2,0
Meghalaya,Total,2007,82,22,2,45,1,19,0
Mizoram,Aizawl,2007,35,0,0,38,0,2,0
Mizoram,Champhai,2007,12,0,0,3,0,0,0
Mizoram,Kolasib,2007,12,0,0,6,0,0,0
Mizoram,Lawngtlai,2007,3,0,0,5,0,0,0
Mizoram,Lunglei,2007,9,0,0,7,0,0,0
Mizoram,Mamit,2007,1,0,0,3,0,0,0
Mizoram,Saiha,2007,3,0,0,3,0,0,0
Mizoram,Serchhip,2007,8,0,0,1,0,0,0
Mizoram,Total,2007,83,0,0,66,0,2,0
Nagaland,Dimapur,2007,5,4,0,5,1,0,0
Nagaland,Kiphire,2007,0,0,0,0,0,0,0
Nagaland,Kohima,2007,4,1,0,1,0,0,0
Nagaland,Longleng,2007,0,1,0,0,0,0,0
Nagaland,Mokokchung,2007,1,0,0,0,0,0,0
Nagaland,Mon,2007,0,0,0,1,0,0,0
Nagaland,Peren,2007,0,0,0,0,0,0,0
Nagaland,Phek,2007,0,0,0,1,0,0,0
Nagaland,Tuensang,2007,0,0,0,0,0,0,0
Nagaland,Wokha,2007,3,0,0,0,0,0,0
Nagaland,Zunheboto,2007,0,0,0,0,0,0,0
Nagaland,Total,2007,13,6,0,8,1,0,0
Odisha,Angul,2007,38,29,16,199,18,43,0
Odisha,Balasore,2007,55,42,35,113,23,32,0
Odisha,Baragarh,2007,18,10,10,63,5,9,0
Odisha,Berhampur,2007,4,6,9,98,4,17,0
Odisha,Bhadrak,2007,42,20,36,76,10,11,0
Odisha,Bolangir,2007,53,22,16,144,6,18,0
Odisha,Boudh,2007,9,4,1,59,1,8,0
Odisha,Cuttack,2007,41,63,48,47,13,36,0
Odisha,Deogarh,2007,13,3,2,79,5,10,0
Odisha,Dhenkanal,2007,35,24,25,197,8,20,0
Odisha,Gajapati,2007,8,9,2,30,2,6,0
Odisha,Ganjam,2007,34,17,20,232,14,18,0
Odisha,Jagatsinghpur,2007,18,7,19,8,2,12,0
Odisha,Jajpur,2007,25,29,33,101,5,25,0
Odisha,Jharsuguda,2007,11,11,1,67,4,15,0
Odisha,Kalahandi,2007,30,18,12,68,8,19,0
Odisha,Kandhamal,2007,32,13,4,114,5,32,0
Odisha,Kendrapara,2007,30,27,41,11,2,27,0
Odisha,Keonjhar,2007,41,32,21,211,10,25,0
Odisha,Khurda,2007,53,60,20,52,11,53,0
Odisha,Koraput,2007,41,29,4,126,10,54,0
Odisha,Malkangir,2007,12,7,2,20,6,12,0
Odisha,Mayurbhanj,2007,74,29,16,176,22,68,0
Odisha,Nayagarh,2007,21,27,14,13,6,21,0
Odisha,Nowrangpur,2007,28,20,1,62,11,17,0
Odisha,Nuapada,2007,5,11,8,43,4,17,0
Odisha,Puri,2007,43,12,34,19,0,25,0
Odisha,Rayagada,2007,23,14,2,71,4,23,0
Odisha,Rourkela,2007,15,8,2,60,8,9,0
Odisha,Sambalpur,2007,27,11,5,70,6,29,0
Odisha,Sonepur,2007,16,9,0,64,2,4,0
Odisha,Srp(Cuttack),2007,0,0,0,1,0,1,0
Odisha,Srp(Rourkela),2007,1,2,0,4,1,0,0
Odisha,Sundargarh,2007,43,35,2,77,5,12,0
Odisha,Total,2007,939,660,461,2775,241,728,0
Punjab,Amritsar,2007,21,46,5,20,6,78,0
Punjab,Amritsar Rural,2007,10,24,1,9,5,17,0
